,Day,Start,End,Hours,Description,Rtime
1,Mon Jul 11,10:00 AM,12:00 PM,3.5,Mocap,2.0
2,Mon Jul 11,12:00 PM,1:00 PM,3.5,ITG Meeting,1.0
3,Mon Jul 11,1:00 PM,1:30 PM,3.5,Mocap,0.5
5,Wed Jul 13,9:30 AM,11:30 AM,2.0,NeoNatal Rig,2.0
10,Mon Jul 18,12:00 PM,12:15 PM,0.3,ITG Meeting,0.3
11,Tue Jul 19,10:30 AM,11:30 AM,3.0,Jov Icon,1.0
12,Tue Jul 19,3:00 PM,5:00 PM,3.0,NeoNatal Model,2.0
13,Wed Jul 20,10:00 AM,11:00 AM,2.5,Neonatal Rig and meet,1.0
14,Wed Jul 20,12:30 PM,2:00 PM,2.5,NeoNatal R,1.5
15,Thu Jul 21,10:00 AM,11:00 AM,3.0,Jov Icon,1.0
16,Thu Jul 21,12:00 PM,2:00 PM,3.0,Spay Rig,2.0
17,Fri Jul 22,9:30 AM,11:30 AM,2.0,Spay Rig and Meeting,2.0
